baseRewards.credits,baseRewards.data,baseWorkMs,cacheNeedBits,capability,category,clockHz,costs,cStateCost,cStateIdleMultiplier,definitionType,description,efficiency,firstCompletionData,id,index,kind,level,maxOfflineMs,name,objectiveIds,operationCount,phases,ramNeedBits,renewsStandingOrders,repeatable,repeatRewardData,requiredChapter,requiredCores,requiredResearchId,rewardCredits,sideArcId,tierId,tierName,upgradeCost,workUnitCount
,,,,Closing freezes simulation.,,,[],,,automation-buffer,,,,startingNode,,,,0,Starting Node,,,,,false,,,bootstrapNode,,,,,,,,
,,,,Completes the existing finite queue only.,,,"[{""amount"":""120"",""resource"":""credits""},{""amount"":""8"",""resource"":""data""}]",,,automation-buffer,,,,localScheduler,,,,7200000,Local Scheduler,,,,,false,,,bootstrapNode,,localScheduler,,,,,,
,,,,Renews one standing work order.,,,"[{""amount"":""600"",""resource"":""credits""},{""amount"":""40"",""resource"":""data""}]",,,automation-buffer,,,,cronRuntime,,,,28800000,CRON Runtime,,,,,true,,,coherentMachine,,cronScheduler,,,,,,
,,,,Runs system policies and projects.,,,"[{""amount"":""1500"",""resource"":""credits""},{""amount"":""120"",""resource"":""data""}]",,,automation-buffer,,,,systemScheduler,,,,43200000,System Scheduler,,,,,true,,,coherentMachine,,systemScheduler,,,,,,
,,,,Supports daily unattended Fleet work.,,,"[{""amount"":""20000"",""resource"":""credits""},{""amount"":""2000"",""resource"":""data""}]",,,automation-buffer,,,,fleetOrchestrator,,,,86400000,Fleet Orchestrator,,,,,true,,,workshopFleet,,systemCatalog,,,,,,
,,,,Maintains distributed workloads.,,,"[{""amount"":""2000000"",""resource"":""credits""},{""amount"":""200000"",""resource"":""data""}]",,,automation-buffer,,,,clusterController,,,,172800000,Cluster Controller,,,,,true,,,localFabric,,,,,,,,
,,,,Supports three-day infrastructure runs.,,,"[{""amount"":""200000000"",""resource"":""credits""},{""amount"":""20000000"",""resource"":""data""}]",,,automation-buffer,,,,rackController,,,,259200000,Rack Controller,,,,,true,,,rackAndFacility,,,,,,,,
,,,,Supports five-day facility operations.,,,"[{""amount"":""20000000000"",""resource"":""credits""},{""amount"":""2000000000"",""resource"":""data""}]",,,automation-buffer,,,,dataCenterNoc,,,,432000000,Data Center NOC,,,,,true,,,rackAndFacility,,,,,,,,
,,,,Final seven-day offline window.,,,"[{""amount"":""2000000000000"",""resource"":""credits""},{""amount"":""200000000000"",""resource"":""data""}]",,,automation-buffer,,,,globalScheduler,,,,604800000,Global Scheduler,,,,,true,,,planetaryCommons,,,,,,,,
,,,,,,,,,,campaign-chapter,Bring a bit-scale machine from first operation to a measured node.,,,bootstrapNode,1,,,,Bootstrap Node,"[""bootstrap:first-operation"",""bootstrap:decode-logic"",""bootstrap:byte-copy"",""bootstrap:first-benchmark""]",,,,,,,,,,,,,,,
