"row_kind","id","name","component","tier","purchase","from_level","to_level","credits_cost","data_cost","result_value","result_unit","total_power_mw","idle_draw_mw","power_delta_mw","psu_capacity_mw","psu_capacity_delta_mw","power_cost_per_second","listing_scope","notes"
"upgrade_tier","clock","Core Clock","cpu","2","1","1","2","14","0","1.5","Hz core clock","1.258","","0.551","","","","expanded through catalog CPU clock level 36; in-game curve is uncapped","Per targeted core. All-core targeting multiplies cost and power delta by selected core count."
"upgrade_tier","clock","Core Clock","cpu","3","2","2","3","24","0","2.1","Hz core clock","2.001","","0.680","","","","expanded through catalog CPU clock level 36; in-game curve is uncapped","Per targeted core. All-core targeting multiplies cost and power delta by selected core count."
"upgrade_tier","clock","Core Clock","cpu","4","3","3","4","41","0","3","Hz core clock","2.969","","0.968","","","","expanded through catalog CPU clock level 36; in-game curve is uncapped","Per targeted core. All-core targeting multiplies cost and power delta by selected core count."
"upgrade_tier","clock","Core Clock","cpu","5","4","4","5","71","0","4.4","Hz core clock","4.424","","1.455","","","","expanded through catalog CPU clock level 36; in-game curve is uncapped","Per targeted core. All-core targeting multiplies cost and power delta by selected core count."
"upgrade_tier","clock","Core Clock","cpu","6","5","5","6","123","0","6.4","Hz core clock","6.501","","2.078","","","","expanded through catalog CPU clock level 36; in-game curve is uncapped","Per targeted core. All-core targeting multiplies cost and power delta by selected core count."
"upgrade_tier","clock","Core Clock","cpu","7","6","6","7","211","0","9.3","Hz core clock","9.524","","3.022","","","","expanded through catalog CPU clock level 36; in-game curve is uncapped","Per targeted core. All-core targeting multiplies cost and power delta by selected core count."
"upgrade_tier","clock","Core Clock","cpu","8","7","7","8","362","0","13.5","Hz core clock","13.937","","4.413","","","","expanded through catalog CPU clock level 36; in-game curve is uncapped","Per targeted core. All-core targeting multiplies cost and power delta by selected core count."
"upgrade_tier","clock","Core Clock","cpu","9","8","8","9","623","0","19.5","Hz core clock","20.323","","6.386","","","","expanded through catalog CPU clock level 36; in-game curve is uncapped","Per targeted core. All-core targeting multiplies cost and power delta by selected core count."
"upgrade_tier","clock","Core Clock","cpu","10","9","9","10","1072","0","28.3","Hz core clock","29.801","","9.479","","","","expanded through catalog CPU clock level 36; in-game curve is uncapped","Per targeted core. All-core targeting multiplies cost and power delta by selected core count."
"upgrade_tier","clock","Core Clock","cpu","11","10","10","11","1845","0","41.1","Hz core clock","43.788","","13.987","","","","expanded through catalog CPU clock level 36; in-game curve is uncapped","Per targeted core. All-core targeting multiplies cost and power delta by selected core count."
